Time(s),CTSresistance,HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),SweatRate(kg/s),FatigueLevel,RespirationRate(1/min)
0.22,0,72,36.957179,34.508279,0,0,15.957447
0.42,0,72,36.957161,34.510277,0,0,15.957447
0.62,0,72,36.957162,34.512274,0,0,15.957447
0.82,0,72,36.957179,34.514270,0,0,15.957447
1.02,0,72.477180,36.957208,34.516264,0,0,15.957447
1.22,0,72.477180,36.957247,34.518258,0,0,15.957447
1.42,0,72.477180,36.957294,34.520250,0,0,15.957447
1.62,0,72.477180,36.957349,34.522240,0,0,15.957447
1.82,0,75.125002,36.957408,34.524233,0,0,15.957447
2.02,0,75.125002,36.957471,34.526249,0,0,15.957447
2.22,0,75.125002,36.957538,34.528261,0,0,15.957447
2.42,0,75.125002,36.957608,34.530271,0,0,15.957447
2.62,0,76.749464,36.957680,34.532284,0,0,15.957447
2.82,0,76.749464,36.957753,34.534312,0,0,15.957447
3.02,0,76.749464,36.957828,34.536338,0,0,15.957447
3.22,0,76.749464,36.957905,34.538362,0,0,15.957447
3.42,0,77.537559,36.957982,34.540390,0,0,15.957447
3.62,0,77.537559,36.958060,34.542431,0,0,15.957447
3.82,0,77.537559,36.958138,34.544470,0,0,15.957447
4.02,0,77.537559,36.958217,34.546507,0,0,15.957447
4.22,0,77.584108,36.958294,34.548549,0,0,20.000000
4.42,0,77.584108,36.958370,34.550600,0,0,20.000000
4.62,0,77.584108,36.958445,34.552649,0,0,20.000000
4.82,0,77.584108,36.958521,34.554695,0,0,20.000000
5.02,0,77.505947,36.958597,34.556745,0,0,20.000000
5.22,0,77.505947,36.958673,34.558799,0,0,20.000000
5.42,0,77.505947,36.958750,34.560850,0,0,20.000000
5.62,0,77.505947,36.958826,34.562898,0,0,20.000000
5.82,0,77.341896,36.958902,34.564950,0,0,20.000000
6.02,0,77.341896,36.958979,34.567003,0,0,20.000000
6.22,0,77.341896,36.959055,34.569054,0,0,20.000000
6.42,0,77.341896,36.959132,34.571102,0,0,20.000000
6.62,0,77.204300,36.959208,34.573153,0,0,20.000000
6.82,0,77.204300,36.959285,34.575204,0,0,20.000000
7.02,0,77.204300,36.959360,34.577252,0,0,21.897810
7.22,0,77.204300,36.959435,34.579298,0,0,21.897810
7.42,0,77.138498,36.959510,34.581346,0,0,21.897810
7.62,0,77.138498,36.959584,34.583392,0,0,21.897810
7.82,0,77.138498,36.959659,34.585436,0,0,21.897810
8.02,0,77.159844,36.959734,34.587478,0,0,21.897810
8.22,0,77.159844,36.959809,34.589521,0,0,21.897810
8.42,0,77.159844,36.959884,34.591561,0,0,21.897810
8.62,0,77.159844,36.959960,34.593599,0,0,21.897810
8.82,0,77.222280,36.960035,34.595635,0,0,21.897810
9.02,0,77.222280,36.960110,34.597671,0,0,21.897810
9.22,0,77.222280,36.960186,34.599704,0,0,21.897810
9.42,0,77.222280,36.960261,34.601735,0,0,21.897810
9.62,0,77.284669,36.960337,34.603764,0,0,22.058824
9.82,0,77.284669,36.960412,34.605792,0,0,22.058824
10.02,0,77.284669,36.960487,34.607818,0,0,22.058824
10.22,0,77.284669,36.960563,34.609841,0,0,22.058824
10.42,0,77.381563,36.960639,34.611862,0,0,22.058824
10.62,0,77.381563,36.960714,34.613881,0,0,22.058824
10.82,0,77.381563,36.960790,34.615898,0,0,22.058824
11.02,0,77.381563,36.960866,34.617913,0,0,22.058824
11.22,0,77.520352,36.960942,34.619925,0,0,22.058824
11.42,0,77.520352,36.961018,34.621936,0,0,22.058824
11.62,0,77.520352,36.961095,34.623944,0,0,22.058824
11.82,0,77.520352,36.961171,34.625949,0,0,22.058824
12.02,0,77.641709,36.961247,34.627953,0,0,22.058824
12.22,0,77.641709,36.961324,34.629954,0,0,22.058824
12.42,0,77.641709,36.961401,34.631954,0,0,22.058824
12.62,0,77.641709,36.961477,34.633951,0,0,22.058824
12.82,0,77.760124,36.961554,34.635946,0,0,22.058824
