Time(s),CTSresistance,HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),SweatRate(kg/s),FatigueLevel,RespirationRate(1/min)
0.22,0,72,36.957180,34.508156,0,0,15.957447
0.42,0,72,36.957171,34.510031,0,0,15.957447
0.62,0,72,36.957184,34.511905,0,0,15.957447
0.82,0,72,36.957216,34.513778,0,0,15.957447
1.02,0,72.514474,36.957264,34.515649,0,0,15.957447
1.22,0,72.514474,36.957325,34.517521,0,0,15.957447
1.42,0,72.514474,36.957396,34.519390,0,0,15.957447
1.62,0,72.514474,36.957476,34.521258,0,0,15.957447
1.82,0,75.828483,36.957563,34.523130,0,0,15.957447
2.02,0,75.828483,36.957653,34.525024,0,0,15.957447
2.22,0,75.828483,36.957749,34.526917,0,0,15.957447
2.42,0,75.828483,36.957848,34.528808,0,0,15.957447
2.62,0,77.896422,36.957950,34.530707,0,0,15.957447
2.82,0,77.896422,36.958053,34.532629,0,0,15.957447
3.02,0,77.896422,36.958159,34.534548,0,0,15.957447
3.22,0,77.896422,36.958266,34.536466,0,0,15.957447
3.42,0,78.905811,36.958374,34.538391,0,0,15.957447
3.62,0,78.905811,36.958482,34.540329,0,0,15.957447
3.82,0,78.905811,36.958592,34.542265,0,0,15.957447
4.02,0,78.905811,36.958701,34.544198,0,0,20.979021
4.22,0,79.083756,36.958806,34.546147,0,0,20.979021
4.42,0,79.083756,36.958911,34.548105,0,0,20.979021
4.62,0,79.083756,36.959016,34.550061,0,0,20.979021
4.82,0,79.083756,36.959122,34.552015,0,0,20.979021
5.02,0,78.937218,36.959227,34.553974,0,0,20.979021
5.22,0,78.937218,36.959333,34.555934,0,0,20.979021
5.42,0,78.937218,36.959439,34.557892,0,0,20.979021
5.62,0,78.937218,36.959546,34.559847,0,0,20.979021
5.82,0,78.802392,36.959652,34.561803,0,0,20.979021
6.02,0,78.802392,36.959759,34.563757,0,0,20.979021
6.22,0,78.802392,36.959865,34.565708,0,0,20.979021
6.42,0,78.565240,36.959972,34.567658,0,0,20.979021
6.62,0,78.565240,36.960078,34.569611,0,0,23.437500
6.82,0,78.565240,36.960182,34.571563,0,0,23.437500
7.02,0,78.565240,36.960286,34.573513,0,0,23.437500
7.22,0,78.564191,36.960390,34.575460,0,0,23.437500
7.42,0,78.564191,36.960494,34.577412,0,0,23.437500
7.62,0,78.564191,36.960598,34.579361,0,0,23.437500
7.82,0,78.564191,36.960702,34.581308,0,0,23.437500
8.02,0,78.682103,36.960806,34.583253,0,0,23.437500
8.22,0,78.682103,36.960910,34.585200,0,0,23.437500
8.42,0,78.682103,36.961014,34.587146,0,0,23.437500
8.62,0,78.682103,36.961118,34.589089,0,0,23.437500
8.82,0,78.790079,36.961222,34.591031,0,0,23.437500
9.02,0,78.790079,36.961326,34.592974,0,0,23.437500
9.22,0,78.790079,36.961431,34.594915,0,0,23.437500
9.42,0,78.790079,36.961535,34.596855,0,0,23.437500
9.62,0,78.878421,36.961639,34.598793,0,0,23.437500
9.82,0,78.878421,36.961744,34.600732,0,0,23.437500
10.02,0,78.878421,36.961848,34.602669,0,0,23.437500
10.22,0,78.878421,36.961952,34.604603,0,0,23.437500
10.42,0,78.990453,36.962057,34.606544,0,0,23.437500
10.62,0,78.990453,36.962160,34.608491,0,0,23.437500
10.82,0,78.990453,36.962264,34.610435,0,0,23.437500
11.02,0,78.990453,36.962368,34.612378,0,0,23.437500
11.22,0,79.099111,36.962469,34.614374,0,0,23.437500
11.42,0,79.099111,36.962569,34.616392,0,0,23.437500
11.62,0,79.099111,36.962668,34.618407,0,0,23.437500
11.82,0,79.191813,36.962768,34.620420,0,0,23.437500
12.02,0,79.191813,36.962838,34.622969,0,0,23.437500
12.22,0,79.191813,36.962905,34.625573,0,0,23.437500
12.42,0,79.191813,36.962971,34.628174,0,0,23.437500
12.62,0,91.142183,36.963046,34.630637,0,0,23.437500
12.82,0,91.142183,36.963126,34.633008,0,0,23.437500
13.02,0,91.142183,36.963205,34.635375,0,0,23.437500
13.22,0,96.630879,36.963288,34.637700,0,0,23.437500
13.42,0,96.630879,36.963373,34.639962,0,0,23.437500
13.62,0,96.630879,36.963459,34.642222,0,0,23.437500
13.82,0,103.888598,36.963546,34.644470,0,0,23.437500
14.02,0,103.888598,36.963633,34.646707,0,0,23.437500
14.22,0,103.888598,36.963720,34.648941,0,0,23.437500
14.42,0,108.668582,36.963808,34.651167,0,0,23.437500
14.62,0,108.668582,36.963896,34.653389,0,0,23.437500
14.82,0,107.600814,36.963984,34.655608,0,0,23.437500
15.02,0,107.600814,36.964073,34.657801,0,0,23.437500
15.22,0,107.600814,36.964163,34.659989,0,0,23.437500
15.42,0,112.912058,36.964253,34.662175,0,0,23.437500
15.62,0,112.912058,36.964342,34.664361,0,0,23.437500
15.82,0,112.912058,36.964432,34.666545,0,0,23.437500
16.02,0,113.364929,36.964523,34.668712,0,0,23.437500
16.22,0,113.364929,36.964615,34.670864,0,0,23.437500
16.42,0,113.364929,36.964706,34.673013,0,0,23.437500
16.62,0,113.269951,36.964799,34.675140,0,0,23.437500
16.82,0,113.269951,36.964893,34.677259,0,0,23.437500
17.02,0,113.102052,36.964987,34.679373,0,0,23.437500
17.22,0,113.102052,36.965082,34.681464,0,0,23.437500
17.42,0,113.102052,36.965177,34.683553,0,0,23.437500
17.62,0,113.028603,36.965272,34.685632,0,0,23.437500
17.82,0,113.028603,36.965369,34.687697,0,0,23.437500
18.02,0,113.028603,36.965465,34.689759,0,0,23.437500
18.22,0,113.032337,36.965563,34.691808,0,0,23.437500
18.42,0,113.032337,36.965660,34.693849,0,0,23.437500
18.62,0,113.028569,36.965758,34.695888,0,0,23.437500
18.82,0,113.028569,36.965857,34.697911,0,0,23.437500
19.02,0,113.028569,36.965956,34.699932,0,0,23.437500
19.22,0,113.002825,36.966055,34.701947,0,0,23.437500
19.42,0,113.002825,36.966154,34.703953,0,0,23.255814
19.62,0,113.002825,36.966254,34.705956,0,0,23.255814
19.82,0,112.978658,36.966354,34.707951,0,0,23.255814
20.02,0,112.978658,36.966455,34.709941,0,0,23.255814
20.22,0,112.972615,36.966556,34.711928,0,0,23.255814
20.42,0,112.972615,36.966657,34.713906,0,0,23.255814
20.62,0,112.972615,36.966758,34.715882,0,0,23.255814
20.82,0,112.958766,36.966860,34.717854,0,0,23.255814
21.02,0,112.958766,36.966962,34.719819,0,0,23.255814
21.22,0,112.958766,36.967064,34.721782,0,0,23.255814
21.42,0,112.892703,36.967166,34.723740,0,0,23.255814
21.62,0,112.892703,36.967269,34.725694,0,0,23.255814
21.82,0,112.892703,36.967371,34.727646,0,0,23.255814
22.02,0,112.801809,36.967474,34.729592,0,0,23.255814
22.22,0,112.801809,36.967577,34.731536,0,0,23.255814
22.42,0,112.723333,36.967681,34.733478,0,0,23.255814
22.62,0,112.723333,36.967784,34.735414,0,0,23.255814
22.82,0,112.723333,36.967888,34.737349,0,0,23.255814
23.02,0,112.673925,36.967992,34.739280,0,0,23.255814
23.22,0,112.673925,36.968096,34.741208,0,0,23.255814
23.42,0,112.673925,36.968200,34.743133,0,0,23.255814
23.62,0,112.617713,36.968304,34.745056,0,0,23.255814
23.82,0,112.617713,36.968408,34.746975,0,0,23.255814
24.02,0,112.522939,36.968513,34.748893,0,0,23.255814
24.22,0,112.522939,36.968618,34.750807,0,0,23.255814
24.42,0,112.522939,36.968722,34.752719,0,0,23.255814
24.62,0,112.423576,36.968827,34.754629,0,0,23.076923
24.82,0,112.423576,36.968933,34.756536,0,0,23.076923
25.02,0,112.423576,36.969038,34.758441,0,0,23.076923
25.22,0,112.351858,36.969144,34.760343,0,0,23.076923
25.42,0,112.351858,36.969250,34.762243,0,0,23.076923
25.62,0,112.314463,36.969356,34.764141,0,0,23.076923
25.82,0,112.314463,36.969462,34.766036,0,0,23.076923
26.02,0,112.314463,36.969568,34.767929,0,0,23.076923
26.22,0,112.265440,36.969674,34.769820,0,0,23.076923
26.42,0,112.265440,36.969780,34.771709,0,0,23.076923
26.62,0,112.265440,36.969887,34.773595,0,0,23.076923
26.82,0,112.183470,36.969993,34.775479,0,0,23.076923
27.02,0,112.183470,36.970100,34.777361,0,0,23.076923
27.22,0,112.183470,36.970207,34.779241,0,0,22.900763
27.42,0,112.103674,36.970314,34.781119,0,0,22.900763
27.62,0,112.103674,36.970421,34.782995,0,0,22.900763
27.82,0,112.054829,36.970529,34.784868,0,0,22.900763
28.02,0,112.054829,36.970636,34.786740,0,0,22.900763
28.22,0,112.054829,36.970744,34.788609,0,0,22.900763
28.42,0,112.035853,36.970851,34.790476,0,0,22.900763
28.62,0,112.035853,36.970959,34.792341,0,0,22.900763
28.82,0,112.035853,36.971067,34.794204,0,0,22.900763
29.02,0,111.996286,36.971175,34.796064,0,0,22.900763
29.22,0,111.996286,36.971283,34.797923,0,0,22.900763
