Time(s),CTSresistance,HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),SweatRate(kg/s),FatigueLevel,RespirationRate(1/min)
0.22,0,72,36.957185,34.508515,0,0,15.957447
0.42,0,72,36.957186,34.510752,0,0,15.957447
0.62,0,72,36.957215,34.512988,0,0,15.957447
0.82,0,72,36.957267,34.515221,0,0,15.957447
1.02,0,72.550087,36.957337,34.517453,0,0,15.957447
1.22,0,72.550087,36.957423,34.519685,0,0,15.957447
1.42,0,72.550087,36.957521,34.521914,0,0,15.957447
1.62,0,72.550087,36.957629,34.524140,0,0,15.957447
1.82,0,76.510925,36.957746,34.526370,0,0,15.957447
2.02,0,76.510925,36.957868,34.528622,0,0,15.957447
2.22,0,76.510925,36.957995,34.530871,0,0,15.957447
2.42,0,76.510925,36.958128,34.533116,0,0,15.957447
2.62,0,79.019874,36.958263,34.535379,0,0,15.957447
2.82,0,79.019874,36.958399,34.537668,0,0,15.957447
3.02,0,79.019874,36.958538,34.539954,0,0,15.957447
3.22,0,79.019874,36.958679,34.542237,0,0,15.957447
3.42,0,80.244674,36.958821,34.544538,0,0,15.957447
3.62,0,80.244674,36.958963,34.546851,0,0,15.957447
3.82,0,80.244674,36.959107,34.549160,0,0,15.957447
4.02,0,80.244674,36.959248,34.551466,0,0,22.058824
4.22,0,80.557073,36.959387,34.553785,0,0,22.058824
4.42,0,80.557073,36.959528,34.556105,0,0,22.058824
4.62,0,80.557073,36.959669,34.558421,0,0,22.058824
4.82,0,80.313640,36.959810,34.560735,0,0,22.058824
5.02,0,80.313640,36.959951,34.563061,0,0,22.058824
5.22,0,80.313640,36.960093,34.565384,0,0,22.058824
5.42,0,80.313640,36.960234,34.567703,0,0,22.058824
5.62,0,80.073545,36.960376,34.570022,0,0,22.058824
5.82,0,80.073545,36.960518,34.572349,0,0,22.058824
6.02,0,80.073545,36.960660,34.574672,0,0,22.058824
6.22,0,80.073545,36.960802,34.576992,0,0,22.058824
6.42,0,79.934712,36.960942,34.579313,0,0,24.793388
6.62,0,79.934712,36.961081,34.581637,0,0,24.793388
6.82,0,79.934712,36.961220,34.583958,0,0,24.793388
7.02,0,79.934712,36.961360,34.586275,0,0,24.793388
7.22,0,79.907266,36.961499,34.588595,0,0,24.793388
7.42,0,79.907266,36.961638,34.590915,0,0,24.793388
7.62,0,79.907266,36.961778,34.593232,0,0,24.793388
7.82,0,79.907266,36.961917,34.595545,0,0,24.793388
8.02,0,79.964869,36.962057,34.597861,0,0,24.793388
8.22,0,79.964869,36.962196,34.600175,0,0,24.793388
8.42,0,79.964869,36.962336,34.602486,0,0,24.793388
8.62,0,80.035023,36.962476,34.604794,0,0,24.793388
8.82,0,80.035023,36.962584,34.607655,0,0,25.000000
9.02,0,80.035023,36.962693,34.610511,0,0,25.000000
9.22,0,80.035023,36.962802,34.613364,0,0,25.000000
9.42,0,89.112737,36.962909,34.616244,0,0,25.000000
9.62,0,89.112737,36.963015,34.619142,0,0,25.000000
9.82,0,89.112737,36.963122,34.622034,0,0,25.000000
10.02,0,95.419569,36.963232,34.624858,0,0,25.000000
10.22,0,95.419569,36.963348,34.627581,0,0,25.000000
10.42,0,95.419569,36.963464,34.630300,0,0,25.000000
10.62,0,104.469593,36.963581,34.632994,0,0,25.000000
10.82,0,104.469593,36.963700,34.635665,0,0,25.000000
11.02,0,104.469593,36.963819,34.638332,0,0,25.000000
11.22,0,111.265062,36.963938,34.640991,0,0,25.000000
11.42,0,111.265062,36.964057,34.643645,0,0,25.000000
11.62,0,115.850788,36.964177,34.646294,0,0,25.000000
11.82,0,115.850788,36.964297,34.648934,0,0,25.000000
12.02,0,115.850788,36.964417,34.651570,0,0,25.000000
12.22,0,118.690086,36.964539,34.654182,0,0,25.000000
12.42,0,118.690086,36.964662,34.656777,0,0,25.000000
12.62,0,120.258112,36.964784,34.659367,0,0,25.000000
12.82,0,120.258112,36.964908,34.661935,0,0,25.000000
13.02,0,120.258112,36.965032,34.664500,0,0,25.000000
13.22,0,120.945348,36.965157,34.667053,0,0,25.000000
13.42,0,120.945348,36.965282,34.669596,0,0,25.000000
13.62,0,121.361668,36.965408,34.672133,0,0,25.000000
13.82,0,121.361668,36.965535,34.674644,0,0,25.000000
14.02,0,121.361668,36.965662,34.677152,0,0,25.000000
14.22,0,121.467935,36.965790,34.679642,0,0,25.000000
14.42,0,121.467935,36.965919,34.682119,0,0,25.000000
14.62,0,116.774988,36.966048,34.684593,0,0,25.000000
14.82,0,116.774988,36.966179,34.687024,0,0,25.000000
15.02,0,116.774988,36.966311,34.689451,0,0,25.000000
15.22,0,121.521768,36.966442,34.691875,0,0,25.000000
15.42,0,121.521768,36.966574,34.694296,0,0,25.000000
15.62,0,121.524606,36.966706,34.696713,0,0,25.000000
15.82,0,121.524606,36.966839,34.699112,0,0,25.000000
16.02,0,121.524606,36.966972,34.701507,0,0,25.000000
16.22,0,121.536959,36.967106,34.703893,0,0,25.000000
16.42,0,121.536959,36.967240,34.706269,0,0,25.000000
16.62,0,121.575216,36.967375,34.708643,0,0,25.000000
16.82,0,121.575216,36.967510,34.711002,0,0,25.000000
17.02,0,121.575216,36.967645,34.713359,0,0,25.000000
17.22,0,121.620489,36.967780,34.715708,0,0,25.000000
17.42,0,121.620489,36.967916,34.718050,0,0,25.000000
17.62,0,121.620545,36.968052,34.720389,0,0,25.000000
17.82,0,121.620545,36.968189,34.722718,0,0,25.000000
18.02,0,121.620545,36.968326,34.725044,0,0,25.000000
18.22,0,121.580722,36.968463,34.727365,0,0,25.000000
18.42,0,121.580722,36.968600,34.729680,0,0,24.793388
18.62,0,121.537209,36.968738,34.731992,0,0,24.793388
18.82,0,121.537209,36.968876,34.734297,0,0,24.793388
19.02,0,121.537209,36.969015,34.736599,0,0,24.793388
19.22,0,121.515530,36.969153,34.738896,0,0,24.793388
19.42,0,121.515530,36.969292,34.741189,0,0,24.793388
19.62,0,121.497407,36.969431,34.743479,0,0,24.793388
19.82,0,121.497407,36.969570,34.745764,0,0,24.793388
20.02,0,121.497407,36.969709,34.748046,0,0,24.793388
20.22,0,121.438283,36.969849,34.750325,0,0,24.793388
20.42,0,121.438283,36.969988,34.752599,0,0,24.793388
20.62,0,121.354482,36.970128,34.754872,0,0,24.793388
20.82,0,121.354482,36.970268,34.757140,0,0,24.590164
21.02,0,121.354482,36.970408,34.759405,0,0,24.590164
21.22,0,121.282474,36.970548,34.761667,0,0,24.590164
21.42,0,121.282474,36.970689,34.763926,0,0,24.590164
21.62,0,121.243545,36.970829,34.766183,0,0,24.590164
21.82,0,121.243545,36.970970,34.768436,0,0,24.590164
22.02,0,121.243545,36.971111,34.770687,0,0,24.590164
22.22,0,121.211667,36.971252,34.772935,0,0,24.590164
22.42,0,121.211667,36.971393,34.775180,0,0,24.590164
22.62,0,121.145168,36.971534,34.777422,0,0,24.590164
22.82,0,121.145168,36.971675,34.779662,0,0,24.590164
23.02,0,121.145168,36.971817,34.781899,0,0,24.590164
23.22,0,121.064836,36.971958,34.784134,0,0,24.590164
23.42,0,121.064836,36.972100,34.786366,0,0,24.590164
23.62,0,121.004263,36.972242,34.788596,0,0,24.590164
23.82,0,121.004263,36.972384,34.790823,0,0,24.590164
24.02,0,121.004263,36.972526,34.793048,0,0,24.590164
24.22,0,120.979140,36.972669,34.795270,0,0,24.590164
24.42,0,120.979140,36.972811,34.797490,0,0,24.590164
24.62,0,120.956427,36.972954,34.799708,0,0,24.590164
24.82,0,120.956427,36.973096,34.801923,0,0,24.590164
25.02,0,120.956427,36.973239,34.804136,0,0,24.590164
25.22,0,120.898957,36.973382,34.806346,0,0,24.590164
25.42,0,120.898957,36.973525,34.808555,0,0,24.590164
25.62,0,120.830842,36.973668,34.810760,0,0,24.390244
25.82,0,120.830842,36.973811,34.812964,0,0,24.390244
26.02,0,120.830842,36.973955,34.815165,0,0,24.390244
26.22,0,120.783989,36.974099,34.817364,0,0,24.390244
26.42,0,120.783989,36.974242,34.819561,0,0,24.390244
26.62,0,120.770342,36.974386,34.821755,0,0,24.390244
26.82,0,120.770342,36.974530,34.823947,0,0,24.390244
27.02,0,120.770342,36.974675,34.826137,0,0,24.390244
27.22,0,120.753293,36.974819,34.828324,0,0,24.390244
27.42,0,120.753293,36.974963,34.830510,0,0,24.390244
27.62,0,120.698351,36.975108,34.832692,0,0,24.390244
27.82,0,120.698351,36.975252,34.834873,0,0,24.390244
28.02,0,120.698351,36.975397,34.837052,0,0,24.390244
28.22,0,120.631228,36.975542,34.839228,0,0,24.193548
28.42,0,120.631228,36.975687,34.841402,0,0,24.193548
28.62,0,120.583785,36.975832,34.843574,0,0,24.193548
28.82,0,120.583785,36.975978,34.845743,0,0,24.193548
29.02,0,120.583785,36.976123,34.847910,0,0,24.193548
29.22,0,120.566904,36.976269,34.850075,0,0,24.193548
29.42,0,120.566904,36.976414,34.852238,0,0,24.193548
29.62,0,120.543364,36.976560,34.854399,0,0,24.193548
29.82,0,120.543364,36.976706,34.856557,0,0,24.193548
30.02,0,120.543364,36.976852,34.858713,0,0,24.193548
30.22,0,120.479877,36.976998,34.860867,0,0,24.193548
30.42,0,120.479877,36.977144,34.863019,0,0,24.193548
30.62,0,120.403011,36.977290,34.865168,0,0,24
30.82,0,120.403011,36.977437,34.867315,0,0,24
31.02,0,120.403011,36.977583,34.869460,0,0,24
31.22,0,120.345172,36.977730,34.871603,0,0,24
31.42,0,120.345172,36.977876,34.873744,0,0,24
31.62,0,120.317676,36.978023,34.875882,0,0,24
31.82,0,120.317676,36.978170,34.878018,0,0,24
32.02,0,120.317676,36.978317,34.880152,0,0,24
32.22,0,120.284027,36.978464,34.882284,0,0,24
32.42,0,120.284027,36.978612,34.884413,0,0,24
32.62,0,120.211579,36.978759,34.886540,0,0,24
32.82,0,120.211579,36.978907,34.888665,0,0,24
33.02,0,120.211579,36.979054,34.890788,0,0,24
33.22,0,120.126745,36.979202,34.892909,0,0,23.809524
33.42,0,120.126745,36.979350,34.895027,0,0,23.809524
33.62,0,120.061594,36.979498,34.897144,0,0,23.809524
33.82,0,120.061594,36.979646,34.899258,0,0,23.809524
34.02,0,120.061594,36.979794,34.901369,0,0,23.809524
34.22,0,120.028027,36.979943,34.903479,0,0,23.809524
34.42,0,120.028027,36.980091,34.905586,0,0,23.809524
34.62,0,124.990381,36.980240,34.907691,0,0,23.809524
34.82,0,124.990381,36.980389,34.909794,0,0,23.809524
35.02,0,124.990381,36.980538,34.911894,0,0,23.809524
35.22,0,119.912990,36.980687,34.913980,0,0,23.809524
35.42,0,119.912990,36.980838,34.916046,0,0,23.809524
35.62,0,119.912990,36.980989,34.918110,0,0,23.809524
35.82,0,119.822526,36.981140,34.920168,0,0,23.809524
36.02,0,119.822526,36.981292,34.922224,0,0,23.809524
36.22,0,119.965583,36.981443,34.924277,0,0,23.809524
36.42,0,119.965583,36.981595,34.926328,0,0,23.809524
36.62,0,119.965583,36.981747,34.928376,0,0,23.809524
36.82,0,115.516484,36.981899,34.930424,0,0,23.809524
