Time(s),CTSresistance,HeartRate(1/min),CoreTemperature(degC),SkinTemperature(degC),SweatRate(kg/s),FatigueLevel,RespirationRate(1/min)
0.22,0,72,36.957174,34.507958,0,0,15.957447
0.42,0,72,36.957149,34.509636,0,0,15.957447
0.62,0,72,36.957138,34.511312,0,0,15.957447
0.82,0,72,36.957141,34.512986,0,0,15.957447
1.02,0,72.451203,36.957154,34.514660,0,0,15.957447
1.22,0,72.451203,36.957175,34.516334,0,0,15.957447
1.42,0,72.451203,36.957204,34.518006,0,0,15.957447
1.62,0,72.451203,36.957238,34.519676,0,0,15.957447
1.82,0,74.641588,36.957277,34.521347,0,0,15.957447
2.02,0,74.641588,36.957319,34.523031,0,0,15.957447
2.22,0,74.641588,36.957364,34.524713,0,0,15.957447
2.42,0,74.641588,36.957411,34.526393,0,0,15.957447
2.62,0,75.994145,36.957461,34.528074,0,0,15.957447
2.82,0,75.994145,36.957511,34.529777,0,0,15.957447
3.02,0,75.994145,36.957562,34.531478,0,0,15.957447
3.22,0,75.994145,36.957615,34.533178,0,0,15.957447
3.42,0,76.613272,36.957669,34.534877,0,0,15.957447
3.62,0,76.613272,36.957722,34.536591,0,0,15.957447
3.82,0,76.613272,36.957776,34.538304,0,0,15.957447
4.02,0,76.613272,36.957831,34.540014,0,0,15.957447
4.22,0,76.722441,36.957886,34.541724,0,0,19.354839
4.42,0,76.722441,36.957938,34.543443,0,0,19.354839
4.62,0,76.722441,36.957989,34.545160,0,0,19.354839
4.82,0,76.722441,36.958041,34.546874,0,0,19.354839
5.02,0,76.563530,36.958093,34.548588,0,0,19.354839
5.22,0,76.563530,36.958144,34.550309,0,0,19.354839
5.42,0,76.563530,36.958196,34.552028,0,0,19.354839
5.62,0,76.563530,36.958248,34.553745,0,0,19.354839
5.82,0,76.440729,36.958300,34.555461,0,0,19.354839
6.02,0,76.440729,36.958352,34.557182,0,0,19.354839
6.22,0,76.440729,36.958404,34.558902,0,0,19.354839
6.42,0,76.440729,36.958457,34.560620,0,0,19.354839
6.62,0,76.360281,36.958509,34.562336,0,0,19.354839
6.82,0,76.360281,36.958561,34.564057,0,0,19.354839
7.02,0,76.360281,36.958613,34.565776,0,0,19.354839
7.22,0,76.360281,36.958664,34.567494,0,0,20.979021
7.42,0,76.315033,36.958714,34.569210,0,0,20.979021
7.62,0,76.315033,36.958764,34.570929,0,0,20.979021
7.82,0,76.315033,36.958814,34.572647,0,0,20.979021
8.02,0,76.315033,36.958864,34.574362,0,0,20.979021
8.22,0,76.325118,36.958915,34.576077,0,0,20.979021
8.42,0,76.325118,36.958965,34.577793,0,0,20.979021
8.62,0,76.325118,36.959015,34.579507,0,0,20.979021
8.82,0,76.325118,36.959065,34.581220,0,0,20.979021
9.02,0,76.362303,36.959115,34.582931,0,0,20.979021
9.22,0,76.362303,36.959166,34.584644,0,0,20.979021
9.42,0,76.362303,36.959216,34.586355,0,0,20.979021
9.62,0,76.362303,36.959267,34.588064,0,0,20.979021
9.82,0,76.382996,36.959317,34.589771,0,0,20.979021
10.02,0,76.382996,36.959368,34.591480,0,0,20.979021
10.22,0,76.382996,36.959418,34.593186,0,0,20.979021
10.42,0,76.382996,36.959469,34.594891,0,0,20.979021
10.62,0,76.426118,36.959519,34.596595,0,0,20.979021
10.82,0,76.426118,36.959570,34.598298,0,0,20.979021
11.02,0,76.426118,36.959621,34.600000,0,0,20.979021
11.22,0,76.426118,36.959671,34.601700,0,0,20.979021
11.42,0,76.512487,36.959722,34.603398,0,0,20.979021
11.62,0,76.512487,36.959773,34.605097,0,0,20.979021
11.82,0,76.512487,36.959824,34.606793,0,0,20.979021
12.02,0,76.512487,36.959875,34.608488,0,0,20.979021
12.22,0,76.591291,36.959927,34.610181,0,0,20.979021
12.42,0,76.591291,36.959978,34.611873,0,0,20.979021
12.62,0,76.591291,36.960029,34.613564,0,0,20.979021
12.82,0,76.591291,36.960080,34.615254,0,0,20.979021
13.02,0,76.660070,36.960132,34.616941,0,0,20.979021
13.22,0,76.660070,36.960183,34.618628,0,0,20.979021
13.42,0,76.660070,36.960235,34.620314,0,0,20.979021
13.62,0,76.660070,36.960286,34.621997,0,0,20.979021
13.82,0,76.760695,36.960338,34.623679,0,0,20.979021
14.02,0,76.760695,36.960390,34.625361,0,0,20.979021
14.22,0,76.760695,36.960441,34.627040,0,0,20.979021
14.42,0,76.760695,36.960493,34.628718,0,0,20.979021
14.62,0,76.884243,36.960545,34.630394,0,0,20.979021
14.82,0,76.884243,36.960597,34.632069,0,0,20.979021
15.02,0,76.884243,36.960649,34.633743,0,0,20.979021
15.22,0,76.884243,36.960702,34.635415,0,0,20.979021
15.42,0,76.978698,36.960754,34.637087,0,0,20.979021
15.62,0,76.978698,36.960805,34.638770,0,0,20.979021
15.82,0,76.978698,36.960857,34.640450,0,0,20.979021
16.02,0,76.978698,36.960909,34.642129,0,0,20.979021
16.22,0,77.075744,36.960960,34.643809,0,0,20.979021
16.42,0,77.075744,36.961012,34.645496,0,0,20.979021
16.62,0,77.075744,36.961063,34.647181,0,0,20.979021
16.82,0,77.075744,36.961114,34.648864,0,0,20.979021
17.02,0,77.206558,36.961166,34.650546,0,0,20.979021
17.22,0,77.206558,36.961217,34.652230,0,0,20.979021
17.42,0,77.206558,36.961269,34.653912,0,0,20.979021
17.62,0,77.206558,36.961320,34.655592,0,0,20.979021
17.82,0,77.175458,36.961372,34.657271,0,0,20.979021
18.02,0,77.175458,36.961424,34.658950,0,0,20.979021
18.22,0,77.175458,36.961475,34.660628,0,0,20.979021
18.42,0,77.175458,36.961527,34.662303,0,0,20.979021
18.62,0,77.140619,36.961579,34.663978,0,0,20.979021
18.82,0,77.140619,36.961631,34.665651,0,0,20.979021
19.02,0,77.140619,36.961683,34.667323,0,0,20.979021
19.22,0,77.140619,36.961735,34.668993,0,0,20.979021
19.42,0,77.201806,36.961787,34.670662,0,0,20.979021
19.62,0,77.201806,36.961839,34.672328,0,0,20.979021
19.82,0,77.201806,36.961892,34.673993,0,0,20.979021
20.02,0,77.201806,36.961944,34.675656,0,0,20.979021
20.22,0,77.353870,36.961997,34.677317,0,0,20.979021
20.42,0,77.353870,36.962049,34.678976,0,0,20.979021
20.62,0,77.353870,36.962102,34.680633,0,0,20.979021
20.82,0,77.516887,36.962155,34.682289,0,0,20.979021
21.02,0,77.516887,36.962208,34.683942,0,0,20.979021
21.22,0,77.516887,36.962261,34.685592,0,0,20.979021
21.42,0,77.516887,36.962314,34.687242,0,0,20.833333
21.62,0,77.682347,36.962368,34.688889,0,0,20.833333
21.82,0,77.682347,36.962421,34.690534,0,0,20.833333
22.02,0,77.682347,36.962475,34.692177,0,0,20.833333
22.22,0,77.682347,36.962528,34.693818,0,0,20.833333
22.42,0,77.879188,36.962582,34.695458,0,0,20.833333
22.62,0,77.879188,36.962636,34.697095,0,0,20.833333
22.82,0,77.879188,36.962690,34.698730,0,0,20.833333
23.02,0,77.879188,36.962744,34.700364,0,0,20.833333
23.22,0,78.087879,36.962798,34.701996,0,0,20.833333
23.42,0,78.087879,36.962852,34.703626,0,0,20.833333
23.62,0,78.087879,36.962907,34.705254,0,0,20.833333
23.82,0,78.087879,36.962961,34.706881,0,0,20.833333
24.02,0,78.249183,36.963016,34.708506,0,0,20.833333
24.22,0,78.249183,36.963070,34.710129,0,0,20.833333
24.42,0,78.249183,36.963125,34.711751,0,0,20.833333
24.62,0,78.249183,36.963180,34.713371,0,0,20.833333
24.82,0,78.391162,36.963235,34.714990,0,0,20.833333
25.02,0,78.391162,36.963290,34.716607,0,0,20.833333
25.22,0,78.391162,36.963345,34.718222,0,0,20.833333
25.42,0,78.391162,36.963400,34.719836,0,0,20.833333
25.62,0,78.544748,36.963456,34.721448,0,0,20.833333
25.82,0,78.544748,36.963511,34.723058,0,0,20.833333
26.02,0,78.544748,36.963566,34.724667,0,0,20.833333
26.22,0,78.544748,36.963622,34.726274,0,0,20.833333
26.42,0,78.676326,36.963677,34.727880,0,0,20.833333
26.62,0,78.676326,36.963733,34.729485,0,0,20.833333
26.82,0,78.676326,36.963789,34.731088,0,0,20.833333
27.02,0,78.676326,36.963845,34.732689,0,0,20.833333
27.22,0,78.761548,36.963901,34.734290,0,0,20.689655
27.42,0,78.761548,36.963957,34.735889,0,0,20.689655
27.62,0,78.761548,36.964013,34.737486,0,0,20.689655
27.82,0,78.761548,36.964070,34.739082,0,0,20.689655
28.02,0,78.846028,36.964126,34.740677,0,0,20.689655
28.22,0,78.846028,36.964183,34.742270,0,0,20.689655
28.42,0,78.846028,36.964239,34.743862,0,0,20.689655
28.62,0,78.948374,36.964296,34.745452,0,0,20.689655
28.82,0,78.948374,36.964352,34.747054,0,0,20.689655
29.02,0,78.948374,36.964408,34.748655,0,0,20.689655
29.22,0,78.948374,36.964465,34.750253,0,0,20.689655
29.42,0,79.016155,36.964521,34.751853,0,0,20.689655
29.62,0,79.016155,36.964576,34.753460,0,0,20.689655
29.82,0,79.016155,36.964632,34.755065,0,0,20.689655
30.02,0,79.016155,36.964688,34.756669,0,0,20.689655
30.22,0,79.052283,36.964744,34.758273,0,0,20.547945
30.42,0,79.052283,36.964800,34.759878,0,0,20.547945
30.62,0,79.052283,36.964856,34.761481,0,0,20.547945
30.82,0,79.052283,36.964912,34.763083,0,0,20.547945
31.02,0,78.930757,36.964968,34.764678,0,0,20.547945
31.22,0,78.930757,36.965025,34.766266,0,0,20.547945
31.42,0,78.930757,36.965082,34.767852,0,0,20.547945
31.62,0,78.930757,36.965138,34.769437,0,0,20.547945
31.82,0,78.851820,36.965196,34.771014,0,0,20.547945
32.02,0,78.851820,36.965253,34.772587,0,0,20.547945
32.22,0,78.851820,36.965311,34.774157,0,0,20.547945
32.42,0,78.851820,36.965369,34.775726,0,0,20.547945
32.62,0,78.828310,36.965427,34.777291,0,0,20.547945
32.82,0,78.828310,36.965485,34.778854,0,0,20.547945
33.02,0,78.828310,36.965543,34.780415,0,0,20.547945
33.22,0,79.037116,36.965601,34.781975,0,0,20.408163
33.42,0,79.037116,36.965659,34.783542,0,0,20.408163
33.62,0,79.037116,36.965717,34.785109,0,0,20.408163
33.82,0,79.037116,36.965775,34.786674,0,0,20.408163
34.02,0,79.279424,36.965833,34.788239,0,0,20.408163
34.22,0,79.279424,36.965891,34.789810,0,0,20.408163
34.42,0,79.279424,36.965949,34.791380,0,0,20.408163
34.62,0,79.279424,36.966007,34.792948,0,0,20.408163
34.82,0,79.462914,36.966065,34.794515,0,0,20.408163
35.02,0,79.462914,36.966123,34.796082,0,0,20.408163
35.22,0,79.462914,36.966181,34.797648,0,0,20.408163
35.42,0,79.462914,36.966239,34.799212,0,0,20.408163
35.62,0,79.364646,36.966297,34.800776,0,0,20.408163
35.82,0,79.364646,36.966355,34.802338,0,0,20.408163
36.02,0,79.364646,36.966413,34.803899,0,0,20.408163
36.22,0,79.364646,36.966472,34.805458,0,0,20.408163
36.42,0,79.238231,36.966530,34.807016,0,0,20.408163
36.62,0,79.238231,36.966589,34.808573,0,0,20.408163
36.82,0,79.238231,36.966648,34.810128,0,0,20.408163
37.02,0,79.200081,36.966706,34.811682,0,0,20.408163
37.22,0,79.200081,36.966765,34.813233,0,0,20.408163
37.42,0,79.200081,36.966824,34.814783,0,0,20.408163
37.62,0,79.200081,36.966883,34.816331,0,0,20.408163
37.82,0,79.225583,36.966942,34.817877,0,0,20.408163
38.02,0,79.225583,36.967002,34.819421,0,0,20.408163
38.22,0,79.225583,36.967061,34.820964,0,0,20.408163
38.42,0,79.225583,36.967120,34.822505,0,0,20.408163
38.62,0,79.247638,36.967180,34.824044,0,0,20.408163
38.82,0,79.247638,36.967240,34.825580,0,0,20.408163
39.02,0,79.247638,36.967299,34.827115,0,0,20.270270
39.22,0,79.247638,36.967359,34.828649,0,0,20.270270
39.42,0,79.284763,36.967420,34.830180,0,0,20.270270
39.62,0,79.284763,36.967480,34.831709,0,0,20.270270
39.82,0,79.284763,36.967541,34.833236,0,0,20.270270
40.02,0,79.284763,36.967601,34.834762,0,0,20.270270
40.22,0,79.355894,36.967662,34.836285,0,0,20.270270
40.42,0,79.355894,36.967723,34.837806,0,0,20.270270
40.62,0,79.355894,36.967783,34.839325,0,0,20.270270
40.82,0,79.426481,36.967844,34.840842,0,0,20.270270
41.02,0,79.426481,36.967906,34.842357,0,0,20.270270
41.22,0,79.426481,36.967967,34.843870,0,0,20.270270
41.42,0,79.426481,36.968028,34.845381,0,0,20.270270
41.62,0,79.454351,36.968089,34.846891,0,0,20.270270
41.82,0,79.454351,36.968151,34.848398,0,0,20.270270
42.02,0,79.454351,36.968213,34.849903,0,0,20.134228
42.22,0,79.454351,36.968275,34.851407,0,0,20.134228
42.42,0,79.477605,36.968337,34.852909,0,0,20.134228
42.62,0,79.477605,36.968399,34.854408,0,0,20.134228
42.82,0,79.477605,36.968461,34.855906,0,0,20.134228
43.02,0,79.477605,36.968523,34.857402,0,0,20.134228
43.22,0,79.522283,36.968585,34.858896,0,0,20.134228
43.42,0,79.522283,36.968648,34.860387,0,0,20.134228
43.62,0,79.522283,36.968711,34.861877,0,0,20.134228
43.82,0,79.522283,36.968773,34.863366,0,0,20.134228
44.02,0,79.554192,36.968836,34.864852,0,0,20.134228
44.22,0,79.554192,36.968899,34.866336,0,0,20.134228
